"i","x","y"
1,321.0975,269.98429023
1,322.06,269.54929023
1,322.82875,269.64929023
1,323.8,269.74929023
1,325.22625,269.44929023
1,326.15,269.14929023
1,326.62,268.87929023
1,327.09,268.60929023
1,327.96,268.13929023
1,328.83,267.66929023
1,329.4,267.46929023
1,329.97,267.26929023
1,330.67,267.26929023
1,331.37,267.26929023
1,331.875,267.06929023
1,332.38,266.86929023
1,332.95,266.93429023
1,333.52,266.99929023
1,333.855,266.99929023
1,334.19,266.99929023
1,334.325,265.70929023
1,334.46,264.41929023
1,335.03125,263.42929023
1,335.4,262.91929023
1,335.735,261.77429023
1,336.07,260.62929023
1,336.07,260.05929023
1,336.07,259.48929023
1,335.935,259.15549023
1,335.8,258.61929023
1,335.8,257.34429023
1,335.8,256.06929023
1,336.235,255.39929023
1,336.67,254.72929023
1,336.67,254.19429023
1,336.67,253.65929023
1,336.47,253.05929023
1,336.27,252.45929023
1,336.205,251.71929023
1,336.14,250.97929023
1,336.0537,250.66799023
1,335.86995,250.10929023
1,335.63995,249.27799023
1,335.46995,248.49929023
1,335.0437,247.99799023
1,334.66995,247.69929023
1,334.32995,247.09429023
1,333.98995,246.48929023
1,333.18995,246.15429023
1,332.38995,245.81929023
1,332.25495,245.34929023
1,332.11995,244.87929023
1,331.78495,244.44429023
1,331.44995,244.00929023
1,331.00995,243.70929023
1,330.56995,243.40929023
1,330.2537,243.35929023
1,329.62995,243.00929023
1,329.11495,242.38049023
1,328.89995,242.05929023
1,329.43495,241.52429023
1,329.96995,240.98929023
1,330.83995,240.95429023
1,331.70995,240.91929023
1,331.64495,240.38429023
1,331.57995,239.84929023
1,332.14995,239.31429023
1,332.71995,238.77929023
1,333.18995,238.17929023
1,333.65995,237.57929023
1,333.98995,237.27929023
1,334.31995,236.97929023
1,334.5837,237.56679023
1,334.98995,238.67929023
1,335.18495,239.66309023
1,335.40995,240.24929023
1,335.73995,240.52299023
1,336.30995,240.81929023
1,337.0916,241.15599023
1,337.82995,241.57929023
1,338.31745,242.39799023
1,338.72995,243.14929023
1,338.90495,243.30679023
1,339.52995,243.56929023
1,341.3062,244.39799023
1,342.75995,245.18929023
1,344.85245,245.85549023
1,346.65995,246.34929023
1,347.02995,246.68929023
1,347.39995,247.02929023
1,348.10995,247.17679023
1,349.47995,247.42929023
1,350.70995,247.64309023
1,351.48995,247.75929023
1,352.37745,247.92929023
1,353.36995,248.09929023
1,354.0312,248.11329023
1,354.63995,248.02929023
1,354.87745,247.91549023
1,355.30995,247.89949023
1,356.2387,247.88049023
1,356.91995,247.95949023
1,357.5562,248.11199023
1,357.98995,248.15999023
1,359.86995,248.25999023
1,361.74995,248.35999023
1,362.31995,248.59499023
1,362.88995,248.82999023
1,363.3737,248.61499023
1,363.75995,248.69999023
1,363.4437,249.61869023
1,363.4199,250.43999023
1,364.22615,250.67619023
1,364.8299,250.71019023
1,365.3724,250.66119023
1,366.1699,250.71019023
1,367.37115,251.15889023
1,368.5199,251.51019023
1,369.5199,251.54519023
1,370.5199,251.58019023
1,370.97865,251.69889023
1,371.9399,251.71989023
1,372.62615,251.49739023
1,372.8099,251.37989023
1,373.27865,251.50489023
1,373.9499,251.77989023
1,374.05115,252.08989023
1,373.9499,252.24989023
1,373.9924,252.70109023
1,374.0799,253.45989023
1,374.40615,254.00989023
1,374.6799,254.25989023
1,374.97365,254.59489023
1,375.6199,255.13989023
1,375.86615,255.60489023
1,375.7599,256.06989023
1,375.9249,256.94619023
1,376.0899,257.61989023
1,376.4499,258.46489023
1,376.9599,259.75989023
1,377.2349,261.02489023
1,377.3599,261.83989023
1,377.1299,262.37489023
1,376.8999,262.90989023
1,376.5999,263.27989023
1,376.2999,263.64989023
1,375.8599,264.31989023
1,375.4199,264.98989023
1,374.3499,266.06489023
1,373.2799,267.13989023
1,372.6399,267.90989023
1,371.9999,268.67989023
1,370.9299,268.74489023
1,369.8599,268.80989023
1,369.1899,269.44989023
1,368.5199,270.08989023
1,368.2199,270.38989023
1,367.9199,270.68989023
1,367.3799,271.18989023
1,366.8399,271.68989023
1,366.6049,271.85989023
1,366.3699,272.02989023
1,365.5699,272.49989023
1,364.7699,272.96989023
1,364.3299,273.53989023
1,363.8899,274.10989023
1,363.8899,274.47989023
1,363.8899,274.84989023
1,363.8249,275.41989023
1,363.7599,275.98989023
1,363.5249,276.62489023
1,363.2899,277.25989023
1,363.6249,277.95989023
1,363.9599,278.65989023
1,364.0849,279.63369023
1,364.3599,280.80989023
1,364.5699,281.24619023
1,364.6299,281.47989023
1,364.7199,281.99989023
1,364.9599,282.81989023
1,365.30365,283.22989023
1,365.6999,283.48989023
1,365.97615,283.69869023
1,366.4999,283.95989023
1,366.9274,284.27239023
1,367.0999,284.62989023
1,367.2049,285.05739023
1,367.0999,285.22989023
1,366.81115,285.71119023
1,366.1699,286.43989023
1,365.69365,286.80239023
1,365.5699,286.90989023
1,365.8699,287.67989023
1,366.1699,288.44989023
1,366.2049,288.91989023
1,366.2399,289.38989023
1,366.6749,288.98989023
1,367.1099,288.58989023
1,367.4099,288.75489023
1,367.7099,288.91989023
1,367.7099,289.41989023
1,367.7099,289.91989023
1,367.4099,290.32489023
1,367.1099,290.72989023
1,366.5399,291.19989023
1,365.9699,291.66989023
1,365.7349,292.06989023
1,365.4999,292.46989023
1,365.3649,293.33869023
1,365.2299,294.55989023
1,365.2299,295.45989023
1,365.2299,296.35989023
1,364.9599,296.62989023
1,364.6899,296.89989023
1,364.5599,297.39989023
1,364.4299,297.89989023
1,364.3299,298.80869023
1,364.2299,299.91989023
1,364.3924,300.36369023
1,364.5999,300.67989023
1,364.2499,300.85489023
1,363.8999,301.02989023
1,363.2849,301.45489023
1,362.6699,301.87989023
1,362.0049,302.30489023
1,361.3399,302.72989023
1,360.9149,303.06489023
1,360.4899,303.39989023
1,359.5899,304.05989023
1,358.6899,304.71989023
1,357.8849,304.86489023
1,357.0799,305.00989023
1,356.43865,305.05989023
1,355.3699,305.10989023
1,355.3699,305.10989023
2,385.38,135.67999023
2,385,135.01499023
2,384.62,134.34999023
2,384.4475,134.02249023
2,383.96,133.58999023
2,383.395,133.30369023
2,383.01,132.97999023
2,382.625,132.40499023
2,382.39,131.97999023
2,382.04,131.57999023
2,381.69,131.17999023
2,381.305,130.72999023
2,380.92,130.27999023
2,380.47,130.03999023
2,380.02,129.79999023
2,380.02,128.77999023
2,380.02,127.75999023
2,380.635,127.16999023
2,381.25,126.57999023
2,381.275,126.36629023
2,381.3,126.00999023
2,380.66,125.41499023
2,380.02,124.96999023
2,379.38,123.61999023
2,378.74,122.26999023
2,378.855,121.82879023
2,378.79,121.16999023
2,378.2375,120.18999023
2,377.79,119.26999023
2,377.44,118.58499023
2,377.09,117.89999023
2,376.9975,117.59879023
2,376.23,117.19999023
2,375.085,116.86619023
2,374.33,116.56999023
2,373.345,116.31379023
2,372.15,116.04999023
2,370.16,115.74499023
2,368.17,115.43999023
2,367.18125,114.97129023
2,366.41,114.53999023
2,365.795,114.51499023
2,365.18,114.48999023
2,364.68,114.03999023
2,364.18,113.58999023
2,363.78,113.30499023
2,363.38,113.01999023
2,363.45,112.56999023
2,363.52,112.11999023
2,363.30125,111.91249023
2,362.91,111.59999023
2,362.655,110.97749023
2,362.58,110.45999023
2,362.67,110.03499023
2,362.76,109.60999023
2,362.81,109.32499023
2,362.86,109.03999023
2,362.7887,108.76129023
2,362.86,108.36999023
2,363.24,108.18869023
2,363.62,107.75999023
2,363.7113,105.84999023
2,363.6601,104.29999023
2,363.8551,103.56499023
2,364.0501,102.82999023
2,364.2276,101.71249023
2,364.3301,100.87999023
2,364.1151,100.45499023
2,363.9001,100.02999023
2,363.9001,99.43999023
2,363.9001,98.84999023
2,364.1501,98.49999023
2,364.4001,98.14999023
2,364.4793,98.26759023
2,364.5301,98.39999023
2,364.5814,98.81879023
2,364.76015,99.16999023
2,365.16015,99.28499023
2,365.56015,99.39999023
2,365.93515,99.33499023
2,366.31015,99.26999023
2,366.31015,98.81999023
2,366.31015,98.36999023
2,366.52515,98.09499023
2,366.74015,97.81999023
2,366.96015,97.66999023
2,367.18015,97.51999023
2,367.14515,97.28999023
2,367.11015,97.05999023
2,367.39515,97.03999023
2,367.68015,97.01999023
2,367.88015,97.01999023
2,368.08015,97.01999023
2,368.20015,96.38499023
2,368.32015,95.74999023
2,368.50015,95.36499023
2,368.68015,94.97999023
2,368.8764,94.67749023
2,369.02015,94.47999023
2,369.38015,94.31869023
2,369.89015,93.99999023
2,370.40015,93.53999023
2,370.76015,93.22999023
2,371.0164,93.09119023
2,371.40015,92.92999023
2,371.9339,92.80379023
2,372.34015,92.69999023
2,372.67515,92.39999023
2,373.01015,92.09999023
2,373.11015,91.74499023
2,373.21015,91.38999023
2,373.84515,91.21999023
2,374.48015,91.04999023
2,374.91015,90.91999023
2,375.28015,90.78999023
2,375.75265,90.64379023
2,376.09015,90.54979023
2,376.36015,90.36479023
2,376.63015,90.17979023
2,376.93015,89.60979023
2,377.23015,89.03979023
2,377.56515,88.87479023
2,377.90015,88.70979023
2,378.12515,88.48979023
2,378.50015,88.26979023
2,379.3564,88.18079023
2,380.22015,88.06959023
2,381.2164,88.05059023
2,382.19015,88.09959023
2,382.67015,88.16059023
2,383.30015,88.17059023
2,383.9739,88.15559023
2,384.37015,88.14059023
2,385.14515,87.65059023
2,385.92015,87.16059023
2,386.57015,86.59559023
2,387.22015,86.03059023
2,387.64015,85.99559023
2,388.06015,85.96059023
2,388.56015,85.87559023
2,389.06015,85.79059023
2,389.5839,85.72559023
2,390.31015,85.66059023
2,391.6789,85.71959023
2,392.95015,85.83089023
2,393.47515,85.91489023
2,394.03015,85.93089023
2,394.50015,85.81089023
2,394.97015,85.69089023
2,395.3989,85.67989023
2,396.00015,85.69089023
2,397.16515,85.69089023
2,398.15015,85.66489023
2,398.78515,85.44489023
2,399.42015,85.22489023
2,400.87015,84.96739023
2,402.17015,84.75489023
2,402.71015,84.53989023
2,403.25015,84.32489023
2,403.52765,84.16359023
2,404.18015,84.05489023
2,404.93515,84.05489023
2,405.69015,84.05489023
2,406.6764,83.99989023
2,407.94015,83.91489023
2,408.88015,83.86889023
2,409.64015,83.81489023
2,410.2339,83.78889023
2,410.82015,83.78889023
2,411.15515,83.77889023
2,411.49015,84.02639023
2,411.67265,84.55139023
2,411.93015,84.95639023
2,412.2664,85.12509023
2,412.73015,85.19609023
2,413.5014,85.22209023
2,414.10015,85.22209023
2,414.8364,85.18309023
2,415.55015,85.12209023
2,416.3989,85.06109023
2,417.15015,85.02209023
2,418.14765,85.38959023
2,419.37015,85.86209023
2,420.1839,86.07329023
2,420.87015,86.26209023
2,421.8689,86.61209023
2,422.89015,86.96209023
2,423.5439,87.55209023
2,424.19015,88.14209023
2,424.61015,88.37709023
2,425.03015,88.61209023
2,425.70015,89.02709023
2,426.37015,89.44209023
2,426.35515,89.76209023
2,426.34015,90.08209023
2,426.76265,90.14309023
2,427.41015,90.15309023
2,427.95015,90.09309023
2,428.31015,90.18309023
2,428.5064,90.67179023
2,428.65015,91.15309023
2,429.12015,91.64559023
2,429.59015,92.03309023
2,429.95515,92.38309023
2,430.32015,92.73309023
2,430.48515,93.18309023
2,430.65015,93.63309023
2,430.8214,93.75939023
2,431.03015,94.34309023
2,430.93145,95.01309023
2,431.0802,95.44309023
2,431.90645,95.73189023
2,432.7402,95.95309023
2,433.3577,96.20809023
2,433.8702,96.52309023
2,434.1252,97.34689023
2,434.2002,97.95309023
2,434.50895,98.32189023
2,434.9602,98.80309023
2,435.2552,98.97439023
2,435.5802,99.18309023
2,436.1627,99.77689023
2,436.6702,100.36309023
2,437.1827,100.58809023
2,437.9502,100.69309023
2,438.87145,100.81689023
2,439.6502,100.93309023
2,440.1302,101.05809023
2,440.4602,101.36309023
2,440.8777,102.36809023
2,441.2202,103.16309023
2,441.9552,104.58309023
2,442.6902,106.00309023
2,443.2102,106.28809023
2,443.7302,106.57309023
2,444.6102,106.12309023
2,445.4902,105.67309023
2,445.84395,105.17429023
2,446.3402,104.53309023
2,446.7777,104.31559023
2,447.2902,104.20309023
2,448.24145,104.35309023
2,449.2302,104.68309023
2,449.85963,105.31209023
2,450.4202,106.00309023
2,451.2952,106.14809023
2,452.1702,106.29309023
2,452.8102,106.31309023
2,453.4502,106.33309023
2,453.9702,106.38309023
2,454.4902,106.43309023
2,455.4402,106.00809023
2,456.3902,105.58309023
2,457.1252,104.98809023
2,457.8602,104.39309023
2,458.3602,103.89309023
2,458.8602,103.39309023
2,459.21395,103.27809023
2,459.7102,103.16309023
2,460.61145,103.02309023
2,461.3702,102.88309023
2,462.20395,103.06679023
2,463.3602,103.21309023
2,463.8002,103.11709023
2,464.3902,102.95339023
2,463.9002,103.12839023
2,463.4102,103.30339023
2,463.5002,103.96839023
2,463.5902,104.63339023
2,463.7752,104.85839023
2,463.9302,105.29339023
2,463.8365,105.81839023
2,463.7802,106.34339023
2,463.8552,107.11709023
2,463.9302,107.85339023
2,463.9477,108.30709023
2,464.0702,108.75339023
2,464.3127,109.17589023
2,464.4502,109.55339023
2,464.4502,110.26839023
2,464.4502,110.98339023
2,464.3502,111.71839023
2,464.2502,112.45339023
2,464.1852,112.88709023
2,464.1202,113.49339023
2,464.1202,114.01839023
2,464.1202,114.54339023
2,464.8302,114.68339023
2,465.5402,114.82339023
2,464.6402,115.91339023
2,463.7402,117.00339023
2,463.57395,117.14589023
2,462.4102,117.00339023
2,461.19363,116.69359023
2,459.9402,116.62359023
2,458.3577,117.09859023
2,457.4802,117.57359023
2,456.9827,117.81109023
2,455.7802,118.90359023
2,454.8977,120.10609023
2,453.8802,120.60359023
2,452.4077,120.96359023
2,451.7902,121.17359023
2,451.4102,121.93359023
2,451.0302,122.69359023
2,450.9352,122.97859023
2,450.2702,123.83359023
2,449.6102,124.49359023
2,448.9502,125.15359023
2,448.9027,125.36729023
2,448.0002,125.72359023
2,446.7177,125.98859023
2,445.7202,126.10359023
2,444.9652,126.10359023
2,444.2102,126.10359023
2,444.1502,125.52359023
2,443.7302,125.15359023
2,442.88824,125.92689023
2,442.1202,126.77359023
2,441.9302,127.19859023
2,441.7402,127.62359023
2,441.2202,127.29359023
2,440.7002,126.96359023
2,440.4602,126.29859023
2,440.2202,125.63359023
2,439.7502,125.34859023
2,439.2802,125.06359023
2,439.2577,125.10159023
2,438.8002,125.06359023
2,437.97395,124.82479023
2,437.2902,124.59359023
2,436.6227,124.27109023
2,436.2402,124.02359023
2,435.9552,123.45359023
2,435.6702,122.88359023
2,435.5052,122.54109023
2,434.9202,122.12359023
2,434.5027,122.11059023
2,434.1602,122.02259023
2,433.4552,121.81509023
2,433.1102,121.74309023
2,432.6402,121.26809023
2,432.1702,120.79309023
2,431.68145,120.64059023
2,430.8402,120.41309023
2,429.9952,120.19059023
2,429.5102,120.04309023
2,428.83645,119.94309023
2,427.8102,119.84309023
2,426.4402,119.79809023
2,425.4302,119.75309023
2,424.97145,119.76609023
2,424.0102,119.85309023
2,423.0527,119.93609023
2,422.5902,119.94609023
2,421.6402,119.94609023
2,420.6902,119.94609023
2,420.6315,119.87509023
2,420.22025,119.94609023
2,418.85172,120.18289023
2,417.47025,120.32609023
2,416.66525,120.61109023
2,415.86025,120.89609023
2,415.94025,121.32359023
2,415.66025,122.03609023
2,414.919,122.41359023
2,414.53025,122.50559023
2,414.23525,122.36559023
2,413.58025,122.22559023
2,412.779,121.92809023
2,411.40025,122.12559023
2,408.809,123.42179023
2,407.14025,124.21559023
2,405.86025,124.54559023
2,404.58025,124.87559023
2,403.77025,125.30059023
2,402.96025,125.72559023
2,402.53525,126.53559023
2,402.11025,127.34559023
2,401.59025,127.44059023
2,401.07025,127.53559023
2,400.59525,127.53559023
2,400.12025,127.53559023
2,399.434,128.14809023
2,398.32025,129.04559023
2,396.98965,129.64909023
2,395.57025,129.99559023
2,394.1615,130.12809023
2,393.39025,130.18609023
2,393.06025,130.47109023
2,392.73025,130.75609023
2,391.6215,131.68109023
2,390.73025,132.45609023
2,389.9015,133.27609023
2,388.93025,133.88609023
2,387.7665,134.01859023
2,387.03025,134.07559023
2,386.20525,134.88059023
3,306.32,115.94999023
3,306.08125,115.84619023
3,305.88,115.71999023
3,305.84,115.15869023
3,305.98,114.19999023
3,305.995,113.33619023
3,305.98,112.77999023
3,306.095,112.07369023
3,306.21,111.35999023
3,306.155,110.91619023
3,306.07,110.50999023
3,305.8625,110.28879023
3,305.55,110.17999023
3,305.05375,110.04379023
3,304.31,109.83999023
3,304.045,109.55879023
3,304.17,109.41999023
3,304.22,108.80499023
3,304.27,108.18999023
3,303.91125,107.84499023
3,303.41,107.13999023
3,303.05625,106.46749023
3,302.56,105.71999023
3,300.96,104.68749023
3,299.15,103.72999023
3,298.2625,102.80619023
3,297.45,101.73999023
3,296.1375,100.97249023
3,295.26,100.69999023
3,294.36,100.22499023
3,293.46,99.74999023
3,291.375,99.88999023
3,289.29,100.02999023
3,288.34,100.07999023
3,287.39,100.12999023
3,285.78,100.02999023
3,284.17,99.92999023
3,284.645,98.98499023
3,285.12,98.03999023
3,285.12,94.69999023
3,285.12,91.35999023
3,284.455,89.57999023
3,283.79,87.79999023
3,284.12,87.86999023
3,284.45,87.93999023
3,283.17,86.53999023
3,281.89,85.13999023
3,282.265,81.40999023
3,282.64,77.67999023
3,282.645,77.05499023
3,282.65,76.42999023
3,283.03,74.90999023
3,283.41,73.38999023
3,283.695,71.20999023
3,283.98,69.02999023
3,285.21,66.08999023
3,286.44,63.14999023
3,286.16,60.77999023
3,285.88,58.40999023
3,285.88,56.70499023
3,285.88,54.99999023
3,286.83,53.47999023
3,287.78,51.95999023
3,287.965,50.34999023
3,288.15,48.73999023
3,288.91,46.65499023
3,289.67,44.56999023
3,290.145,44.09499023
3,290.62,43.61999023
3,290.52,42.48499023
3,290.42,41.34999023
3,289.76,39.82999023
3,289.1,38.30999023
3,288.625,36.98499023
3,288.15,35.65999023
3,288.29,35.18499023
3,288.43,34.70999023
3,289.285,34.75999023
3,290.14,34.80999023
3,292.225,34.85999023
3,294.31,34.90999023
3,294.69,35.32999023
3,295.07,35.74999023
3,295.685,35.89499023
3,296.3,36.03999023
3,296.205,36.41999023
3,296.11,36.79999023
3,297.44,36.74999023
3,298.77,36.69999023
3,299.435,36.60499023
3,300.1,36.50999023
3,300.97,36.47299023
3,301.42,36.50999023
3,301.52,36.69999023
3,301.62,36.88999023
3,302.3775,36.74999023
3,303.42,36.60999023
3,304.415,36.60999023
3,305.41,36.60999023
3,306.25875,36.69999023
3,307.4,36.78999023
3,308.63,36.93499023
3,309.86,37.07999023
3,311.425,36.85499023
3,313.56,36.41999023
3,314.84549,36.32899023
3,316.12,36.51959023
3,315.88,36.79959023
3,315.64,37.07959023
3,316.115,37.40959023
3,316.59,37.73959023
3,317.54,37.73959023
3,318.49,37.73959023
3,319.105,37.36459023
3,319.72,36.98959023
3,320.43,37.55459023
3,321.14,38.11959023
3,321.96,38.61829023
3,323.14,39.25959023
3,324.31125,40.04459023
3,325.13,40.67959023
3,325.93375,41.17829023
3,327.03,41.81959023
3,327.63875,42.22079023
3,327.97,42.47959023
3,328.775,43.00459023
3,329.58,43.52959023
3,331.24,43.52959023
3,332.9,43.52959023
3,334.205,44.01579023
3,335.93,44.56959023
3,337.94625,44.58359023
3,340.39,44.37989023
3,342.03625,44.21359023
3,343.33,44.18959023
3,344.1825,43.66709023
3,344.75,42.85959023
3,345.3125,42.19959023
3,345.8,41.53959023
3,346.15,41.28579023
3,346.65,41.24979023
3,347.38625,39.77849023
3,347.98,38.02979023
3,349.04375,37.46229023
3,350.25,37.17979023
3,351.2125,36.40349023
3,352.25,35.55979023
3,353.0375,35.48879023
3,353.48,35.55979023
3,354.14,35.55979023
3,354.8,35.55979023
3,355.32,35.89479023
3,355.84,36.22979023
3,356.6,36.89479023
3,357.36,37.55979023
3,358.21,38.17479023
3,359.06,38.78979023
3,359.585,39.40479023
3,360.11,40.01979023
3,361.345,40.01979023
3,362.58,40.01979023
3,364.38,39.92479023
3,366.18,39.82979023
3,366.98,39.87979023
3,367.78,39.92979023
3,368.21,40.39979023
3,368.64,40.86979023
3,368.59,41.58479023
3,368.54,42.29979023
3,368.495,42.76979023
3,368.45,43.23979023
3,368.735,43.80979023
3,369.02,44.37979023
3,369.355,44.23979023
3,369.69,44.09979023
3,370.02,44.42979023
3,370.35,44.75979023
3,370.255,45.04479023
3,370.16,45.32979023
3,369.875,45.56479023
3,369.59,45.79979023
3,369.97,45.98979023
3,370.35,46.17979023
3,371.11,45.94479023
3,371.87,45.70979023
3,372.06,46.08979023
3,372.25,46.46979023
3,372.15,46.98979023
3,372.05,47.50979023
3,372.2325,48.32979023
3,372.34,49.50979023
3,371.97469,50.74429023
3,371.58,51.96979023
3,371.44,52.86979023
3,371.3,53.76979023
3,371.82,54.19479023
3,372.34,54.61979023
3,372.01,54.99979023
3,371.68,55.37979023
3,371.25,56.56479023
3,370.82,57.74979023
3,370.35,58.26979023
3,369.88,58.78979023
3,369.45,59.40479023
3,369.02,60.01979023
3,368.735,60.35479023
3,368.45,60.68979023
3,368.26,61.01979023
3,368.07,61.34979023
3,368.02,62.15479023
3,367.97,62.95979023
3,368.02,63.24479023
3,368.07,63.52979023
3,367.315,63.71979023
3,366.56,63.90979023
3,366.51,65.47479023
3,366.46,67.03979023
3,366.225,67.79979023
3,365.99,68.55979023
3,365.61,68.98479023
3,365.23,69.40979023
3,364.66,69.83479023
3,364.09,70.25979023
3,364.04,70.82979023
3,363.99,71.39979023
3,363.755,71.91979023
3,363.52,72.43979023
3,363.05,73.05979023
3,362.58,73.67979023
3,361.68,74.29479023
3,360.78,74.90979023
3,360.02,76.47479023
3,359.26,78.03979023
3,358.88,78.70479023
3,358.5,79.36979023
3,357.885,80.12479023
3,357.27,80.87979023
3,356.46,81.35479023
3,355.65,81.82979023
3,355.8,83.05979023
3,355.95,84.28979023
3,356.49,84.40979023
3,357.03,84.52979023
3,357.0175,84.92729023
3,356.93,85.42979023
3,356.7875,85.90109023
3,356.72,86.25979023
3,356.9,86.60979023
3,357.08,86.95979023
3,357.45,87.07979023
3,357.82,87.19979023
3,357.805,87.86979023
3,357.79,88.53979023
3,358.275,88.73979023
3,358.76,88.93979023
3,358.795,89.31979023
3,358.83,89.69979023
3,358.9,90.19979023
3,358.97,90.69979023
3,359.14,90.81479023
3,359.31,90.92979023
3,359.66,90.95479023
3,360.01,90.97979023
3,360.415,91.26479023
3,360.82,91.54979023
3,360.82,91.80979023
3,360.82,92.06979023
3,360.95,92.44979023
3,361.08,92.82979023
3,361.28,93.08979023
3,361.48,93.34979023
3,361.765,93.60979023
3,362.05,93.86979023
3,362.315,93.98979023
3,362.58,94.10979023
3,362.72,94.39479023
3,362.86,94.67979023
3,362.855,94.76479023
3,362.85,94.84979023
3,362.665,95.04979023
3,362.48,95.24979023
3,362.08,95.81979023
3,361.68,96.38979023
3,361.645,96.86609023
3,361.61,97.58979023
3,361.545,98.15729023
3,361.48,98.46979023
3,360.91,98.70479023
3,360.34,98.93979023
3,360.0225,98.64729023
3,359.6,97.79979023
3,359.10342,96.88739023
3,358.45,96.07979023
3,357.7175,95.25859023
3,357.39,94.90979023
3,355.97625,95.41729023
3,352.86,96.56979023
3,349.725,97.79729023
3,348.27,98.52979023
3,347.975,99.10479023
3,347.53,99.52979023
3,347.0975,100.00979023
3,346.86,100.33979023
3,346.525,100.57479023
3,346.19,100.80979023
3,345.7475,101.46109023
3,345.05,102.41979023
3,344.46125,102.70479023
3,344.12,102.68979023
3,343.315,102.28979023
3,342.51,101.88979023
3,342.1675,101.76479023
3,341.57,101.48979023
3,341.0675,101.33729023
3,340.37,101.28929023
3,339.90125,101.32329023
3,339.88995,101.40929023
3,339.01995,101.81429023
3,338.14995,102.21929023
3,337.74995,101.88429023
3,337.34995,101.54929023
3,336.44995,101.97929023
3,335.54995,102.40929023
3,334.98495,102.78429023
3,334.41995,103.15929023
3,333.65995,103.44429023
3,332.89995,103.72929023
3,332.70995,104.39429023
3,332.51995,105.05929023
3,331.85495,105.15429023
3,331.18995,105.24929023
3,330.23995,105.24929023
3,329.28995,105.24929023
3,328.24995,106.19929023
3,327.20995,107.14929023
3,326.63995,107.52429023
3,326.06995,107.89929023
3,323.98495,108.08929023
3,321.89995,108.27929023
3,320.76495,109.60929023
3,319.62995,110.93929023
3,314.79495,112.83429023
3,309.95995,114.72929023
3,308.13995,115.33929023
4,223.68,29.57999023
4,223.68,30.24999023
4,223.68,30.91999023
4,223.18125,32.45869023
4,222.54,34.70999023
4,222.37375,36.20499023
4,222.34995,38.11999023
4,222.34995,39.91999023
4,222.34995,41.71999023
4,222.68245,43.23999023
4,223.29995,45.89999023
4,224.1537,48.33369023
4,225,50.63999023
4,225.2225,51.98499023
4,226.15,53.47999023
4,227.778,55.25679023
4,229.55,56.88999023
4,230.58,57.93499023
4,230.89,58.40999023
4,230.89,60.30999023
4,230.89,62.20999023
4,230.51,66.49499023
4,230.13,69.78999023
4,230.055,70.87749023
4,230.13,72.24999023
4,230.43875,74.17369023
4,230.89,75.66999023
4,231.57721,77.74639023
4,232.21,79.83999023
4,232.21,80.97499023
4,232.21,82.10999023
4,232.235,82.70369023
4,232.41,84.00999023
4,232.73375,85.69119023
4,233.35,87.22999023
4,234.0625,87.96619023
4,234.49,89.12999023
4,235.03625,91.69379023
4,236.01,94.24999023
4,236.7375,95.27119023
4,237.33,96.14999023
4,237.80875,97.49499023
4,238.85,98.98999023
4,239.895,100.02999023
4,240.94,101.06999023
4,242.09875,101.68749023
